spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,counts,0.05,0.025,200,speed,ridge,16799,7200,,,,,,0.3769216518781189,0.6210499935584192,3.2838067371533093,4.092933744647731,,,,,,,,,,
sorted,counts,0.05,0.025,200,speed,random_forest_regressor,16799,7200,,,,,,0.3060607517176691,0.5619972751572714,3.431772248234556,4.319406825152452,,,,,,,,,,
sorted,counts,0.05,0.025,200,acceleration,ridge,16799,7200,,,,,,-0.002622356658704472,0.06401080109149569,34.4455173629657,56.80635588392971,,,,,,,,,,
sorted,counts,0.05,0.025,200,acceleration,random_forest_regressor,16799,7200,,,,,,0.0005531794000538381,0.048977737009787685,33.06466131201155,56.716325130278406,,,,,,,,,,
sorted,counts,0.05,0.025,200,head_direction,ridge,16799,7200,,,,,,,,,,26.291288913822065,20.069117897006674,55.40839299819982,,,,,,,
sorted,counts,0.05,0.025,200,head_direction,random_forest_regressor,16799,7200,,,,,,,,,,31.54933112936863,23.111428681163183,69.1257782876555,,,,,,,
sorted,counts,0.05,0.025,200,distance_to_wall,ridge,16799,7200,,,,,,0.39583562479676326,0.6584946126674467,,,,,,6.058903637627514,7.657926366741775,,,,,
sorted,counts,0.05,0.025,200,distance_to_wall,random_forest_regressor,16799,7200,,,,,,0.4286155886161719,0.6640587800191672,,,,,,5.352060963250986,7.447282413622683,,,,,
sorted,counts,0.05,0.025,200,spatial_context,logistic_regression,16799,7200,,,,,,,,,,,,,,,0.6331944444444444,0.6391701705768392,0.6299025541184984,"[[978, 79, 277], [217, 2453, 1040], [272, 756, 1128]]","['center', 'corner', 'wall']"
sorted,counts,0.05,0.025,200,spatial_context,random_forest_classifier,16799,7200,,,,,,,,,,,,,,,0.6348611111111111,0.6251030801328429,0.604979744635811,"[[1008, 133, 193], [335, 2743, 632], [409, 927, 820]]","['center', 'corner', 'wall']"
sorted,counts,0.05,0.025,200,movement_state,logistic_regression,16799,7200,,,,,,,,,,,,,,,0.5670833333333334,0.5452514078306533,0.4695475195053705,"[[2156, 732, 148], [1193, 1790, 885], [11, 148, 137]]","['fast', 'slow', 'still']"
sorted,counts,0.05,0.025,200,movement_state,random_forest_classifier,16799,7200,,,,,,,,,,,,,,,0.5447222222222222,0.5511790095722923,0.4510938543241744,"[[2378, 534, 124], [1547, 1393, 928], [24, 121, 151]]","['fast', 'slow', 'still']"
